Name,Latitude,Longitude,Venue_Id,Category_L1,Category_L2,Category_L3,Category_L4,Postal_Code
Portomarin,53.591324,10.002164,4c76b06807818cfa8e1cd2e3,Food,Spanish Restaurant,None,None,22299
Le Beau Voisin,53.59282938367875,10.0032446989772,5288ed4211d2f74766652d4f,Food,Café,None,None,22299
Il Gelato,53.59145142319362,10.002060347140864,4b05885bf964a52042c022e3,Food,Dessert Shop,Ice Cream Shop,None,22299
Yak & yeti,53.58951022752311,10.00104426004695,4be5ac90bcef2d7fe31f04e5,Food,Asian Restaurant,None,None,22299
Le Xich Lo,53.59245032910443,10.002816987752665,55e2f6f7498ef94594d9fed6,Food,Asian Restaurant,Vietnamese Restaurant,None,22299
froindlichst,53.59249242038361,10.002591360628184,5658bd5f498e846dde0d480c,Food,Vegetarian / Vegan Restaurant,None,None,22299
Café Neo,53.59295977965312,10.001009814843377,52441d0b498ec6ff59cdf2bf,Food,Café,None,None,22299
Osteria Da Enzo,53.592873026624574,10.003088790766402,51b0b7a5498e281c3b61846f,Food,Italian Restaurant,Trattoria/Osteria,None,22299
Kiosk U Sierichstraße,53.590353362491925,10.001283212570682,4dc844582271c93b2ec4cf3a,Shop & Service,Convenience Store,None,None,22299
Vitalien Naturkost,53.59113596249932,10.002207440722252,4b1558e8f964a52056ab23e3,Shop & Service,Food & Drink Shop,Health Food Store,None,22299
H Sierichstraße,53.59005946934123,10.002873928237547,56ca063bcd104c0a99b8d231,Travel & Transport,Bus Stop,None,None,22299
Hobby Dittrich,53.59300267861832,10.001751317933145,4d6cd90c8183a14304899a9f,Shop & Service,Hobby Shop,None,None,22299
Harvestehuder Tennis und Hockey-Club (HTHC),53.59145441252137,10.009553175182493,4bd5be826798ef3b03db638d,Outdoors & Recreation,Athletics & Sports,Tennis Court,None,22303
Bäckerei & Feinkosthaus Am Borgweg,53.590381698217925,10.015615576018599,4d25ea9ef50aa35d1b7b389f,Food,Deli / Bodega,None,None,22303
Sagici,53.590265,10.015296000000001,5755b51e498ea986cf200e1f,Food,Burger Joint,None,None,22303
Trinkhalle,53.59277920531415,10.014169080599528,4e7e0c0e61af6aae1575ad03,Food,Café,None,None,22303
Coffee Unlimited,53.59062612459607,10.015586141618769,4b99f205f964a5200e9835e3,Food,Café,None,None,22303
Deniz Grill,53.5905762320355,10.015490875312107,4b657836f964a520a0f12ae3,Food,Turkish Restaurant,Doner Restaurant,None,22303
Lidl,53.589125100000004,10.0162347,4ea8378e9a526de96a9daa26,Shop & Service,Food & Drink Shop,Supermarket,None,22303
Thai Style,53.590076,10.01529,4ba3ce83f964a520a16138e3,Food,Asian Restaurant,Thai Restaurant,None,22303
Kiosk U3 Borgweg,53.59039984338115,10.015583101969304,51111123e4b05285f821f919,Shop & Service,Convenience Store,None,None,22303
